Name,Address,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Five Restaurant Bistro,"650 Edmonds Way, Edmonds, WA 98020","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
The Cheesecake Factory - Lynnwood,"3000 184th St SW, Ste 1140, Lynnwood, WA 98037","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['10:00 AM - 10:00 PM', '']"
Fashion Dim Sum,"22923 Hwy 99, Edmonds, WA 98026","['11:00 AM - 3:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 3:30 PM, 4:30 PM - 9:00 PM', '']","['Closed', '']","['11:00 AM - 3:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 3:30 PM, 4:30 PM - 9:00 PM', '']","['10:00 AM - 3:30 PM, 4:30 PM - 9:00 PM', '']","['10:00 AM - 3:30 PM, 4:30 PM - 9:00 PM', '']"
PHO Nguyen’s House,"18920 28th Ave W, Ste H, Lynnwood, WA 98036","['11:00 AM - 8:30 PM', '']","['11:00 AM - 3:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']"
Daphnes,"415 1/2 Main St, Edmonds, WA 98020","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']","['3:00 PM - 11:00 PM', '']"
Qin Xi'an Noodles,"22315 Hwy 99, Ste H, Edmonds, WA 98026","['10:30 AM - 10:00 PM', '']","['Closed', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']","['10:30 AM - 10:00 PM', '']"
Sparta's Pizza & Spaghetti House- Lynnwood,"17630 Hwy 99, Lynnwood, WA 98037","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 10:30 PM', '']","['12:00 PM - 10:30 PM', '']","['12:00 PM - 9:00 PM', '']"
Cascades,"20610 44th Ave W, Lynnwood, WA 98036","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 9:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 10:00 PM', '']","['5:00 PM - 9:00 PM', '']"
Las Espuelas,"4306 228th St SW, Ste 9, Mountlake Terrace, WA 98043","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Katsu Burger,"3333 184th St SW, Ste B, Lynnwood, WA 98037","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
The Cottage,"10029 NE 183rd St, Bothell, WA 98011","['Closed', '']","['7:30 AM - 9:00 PM', '']","['7:30 AM - 9:00 PM', '']","['7:30 AM - 9:00 PM', '']","['7:30 AM - 10:00 PM', '']","['9:00 AM - 10:00 PM', '']","['9:00 AM - 7:00 PM', '']"
Sahm Gook Jih Palace,"21619 Hwy 99, Ste J, Lynnwood, WA 98036","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Cafe Kleo,"19720 44th Ave W, Ste K, Lynnwood, WA 98087","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']","['1:00 PM - 11:00 PM', '']"
La Cazuela Mexican,"15620 Hwy 99 S, Lynnwood, WA 98087","['Closed', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 8:00 PM', '']"
Sabai Sabai Lao & Thai Cuisine,"1120 164th St SW, Lynnwood, WA 98087","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Epulo Bistro,"190 Sunset Ave, Ste B, Edmonds, WA 98020","['3:00 PM - 8:30 PM', '']","['3:00 PM - 8:30 PM', '']","['3:00 PM - 8:30 PM', '']","['3:00 PM - 8:30 PM', '']","['3:00 PM - 9:30 PM', '']","['10:00 AM - 2:00 PM, 3:00 PM - 9:30 PM', '']","['10:00 AM - 2:00 PM, 3:00 PM - 8:30 PM', '']"
BittyFish Sushi,"3000 184th St SW, Lynnwood, WA 98037","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']","['11:30 AM - 8:00 PM', '']"
9 Delicacies,"520 128th St SW, Ste B8, Everett, WA 98204","['10:30 AM - 8:00 PM', '']","['10:30 AM - 8:00 PM', '']","['10:30 AM - 8:00 PM', '']","['10:30 AM - 8:00 PM', '']","['10:30 AM - 8:00 PM', '']","['10:30 AM - 8:00 PM', '']","['Closed', '']"
Carniceria Michoacan,"3815 196th St SW, Ste 112, Lynnwood, WA 98036","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['8:00 AM - 9:00 PM', '']","['8:00 AM - 7:00 PM', '']"
B3 Breakfast And Burger Bar,"4027 196th St SW, Lynnwood, WA 98036","['7:30 AM - 3:00 PM', '']","['7:30 AM - 3:00 PM', '']","['7:30 AM - 3:00 PM', '']","['7:30 AM - 3:00 PM', '']","['7:30 AM - 9:00 PM', '']","['7:30 AM - 9:00 PM', '']","['7:30 AM - 4:30 PM', '']"
Stack 571 Burger & Whiskey Bar,"9924 NE 185th St, Ste 101, Bothell, WA 98011","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']"
San Fernando Roasted Chicken,"20815 67th Ave W, Lynnwood, WA 98036","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 8:30 PM', '']"
Vons Chicken,"22511 Hwy 99, Ste 102, Edmonds, WA 98026","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Looking For Chai Taiwanese Kitchen,"22511 Hwy 99, Ste 100, Edmonds, WA 98026","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 10:00 PM', '']"
Maize & Barley,"525 Main St, Edmonds, WA 98020","['Closed', '']","['Closed', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
Looking For Chai Taiwanese Kitchen,"22511 Hwy 99, Ste 100, Edmonds, WA 98026","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 11:00 PM', '']","['11:30 AM - 11:00 PM', '']","['11:30 AM - 10:00 PM', '']"
Taqueria Puebla,"16716 Highway 99, Ste C, Lynnwood, WA 98037","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 7:00 PM', '']"
Szechuan Cuisine,"23202 57th Ave W, Ste 4627, Mountlake Terrace, WA 98043","['11:00 AM - 9:00 PM', '']","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Leftcraft,"519 Main St, Edmonds, WA 98020","['Closed', '']","['Closed', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 8:00 PM', '']"
Taste Rice Noodle,"22315 Hwy 99, Ste L, Edmonds, WA 98026","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']"
The Bine Beer & Food,"10127 Main St, Bothell, WA 98011","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 9:00 PM', '']"
Banh Mi Bites,"23601 56th Ave W, Ste 600, Mountlake Terrace, WA 98043","['Closed', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['12:00 PM - 7:00 PM', '']","['12:00 PM - 5:00 PM', '']"
Babsarang Restaurant,"22618 Hwy 99, Ste 115, Boo Han Market, Edmonds, WA 98026","['Closed', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 6:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 7:00 PM', '']","['9:00 AM - 6:00 PM', '']"
Anthony's Beach Cafe,"456 Admiral Way, Edmonds, WA 98020","['Closed', '']","['Closed', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']","['11:30 AM - 8:30 PM', '']"
Thai Family Restaurant,"21005 44th Ave W, Ste 101, Mountlake Terrace, WA 98043","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['12:00 PM - 8:30 PM', '']","['Closed', '']"
Local 104,"18498 Ballinger Way NE, Lake Forest Park, WA 98155","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:30 PM', '']","['4:00 PM - 9:30 PM', '']","['4:00 PM - 8:00 PM', '']"
Wake N Bacon BBQ,"1437 NW Richmond Beach Rd, Shoreline, WA 98177","['Closed', '']","['Closed', '']","['Closed', '']","['3:00 PM - 8:00 PM', '']","['3:00 PM - 8:00 PM', '']","['12:00 PM - 8:00 PM', '']","['12:00 PM - 7:00 PM', '']"
Hosoonyi Korean Restaurant,"23830 Hwy 99, Ste 114, Edmonds, WA 98026","['11:00 AM - 10:00 PM', '']","['Closed', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']"
Cho Dang Tofu Restaurant,"17424 Hwy 99, Ste 107, Lynnwood, WA 98037","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']"
Traditional Korean Beef Soup,"22929 Hwy 99, Edmonds, WA 98026","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']","['9:00 AM - 9:00 PM', '']"
U Lin Asian Bistro,"1120 164th St SW, Ste F, Lynnwood, WA 98087","['10:00 AM - 9:00 PM', '']","['Closed', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']"
Bar Dojo,"8404 Bowdoin Way, Edmonds, WA 98026","['Closed', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 10:00 PM', '']","['4:00 PM - 9:00 PM', '']"
Anthony's Seafood Grill,"3000 184th St SW, Ste 852, Lynnwood, WA 98037","['3:00 PM - 7:00 PM', '']","['3:00 PM - 7:00 PM', '']","['12:00 PM - 7:00 PM', '']","['12:00 PM - 7:00 PM', '']","['12:00 PM - 8:00 PM', '']","['12:00 PM - 8:00 PM', '']","['12:00 PM - 7:00 PM', '']"
Tacos Reggie,"5710 196th St SW, Lynnwood, WA 98036","['10:30 AM - 7:00 PM', '']","['10:30 AM - 6:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['Closed', '']"
The Old Spaghetti Factory,"2509 196th St SW, Lynnwood, WA 98036","['11:30 AM - 2:00 AM (Next day)', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:30 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:30 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:30 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 10:00 PM', '']","['11:30 AM - 10:00 PM', '']","['11:30 AM - 9:30 PM', '']"
Grazie Ristorante Italiano,"23207 Bothell Everett Hwy, Bothell, WA 98021","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 8:30 PM', '']","['11:00 AM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 8:30 PM', '']"
Good Burger,"19811 Aurora Ave N, Shoreline, WA 98133","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['Closed', '']"
WuJu KBBQ,"19400 36th Ave W, Ste 102, Lynnwood, WA 98036","['Closed', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 9:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 10:00 PM', '']","['12:00 PM - 9:00 PM', '']"
The Bison on Main,"10111 Main St, Bothell, WA 98011","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 12:00 AM (Next day)', '']","['11:00 AM - 11:00 PM', '']"
Just Poke,"15224 Main St, Ste 101, Mill Creek, WA 98012","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 7:00 PM', '']"
Ono Authentic Hawaiian Poke,"10016 Edmonds Way, Ste E, Edmonds, WA 98020","['Closed', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 5:00 PM', '']"
MOMO Sushi,"15603 Main St, Ste B-102, Mill Creek, WA 98012","['11:30 AM - 2:30 PM, 4:30 PM - 9:30 PM', '']","['Closed', '']","['11:30 AM - 2:30 PM, 4:30 PM - 9:30 PM', '']","['11:30 AM - 2:30 PM, 4:30 PM - 9:30 PM', '']","['11:30 AM - 2:30 PM, 4:30 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:30 PM - 9:30 PM', '']","['11:30 AM - 3:00 PM, 4:30 PM - 9:00 PM', '']"
Gyro Delight,"4029 196th St SW, Lynnwood, WA 98036","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 7:00 PM', '']"
B Thai,"7528 196th St SW, Lynnwood, WA 98036","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
Claim Jumper Steakhouse & Bar,"18725 33rd Ave W, Lynnwood, WA 98037","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Casa Guerrero,"402 164th St SW, Ste 105, Lynnwood, WA 98087","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:30 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Sura Korean Barbeque & Traditional Food,"19226 Hwy 99, Lynnwood, WA 98036","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Red Cork Bistro,"11700 Mukilteo Speedway, Ste 405, Mukilteo, WA 98275","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
Boiling Fish,"22511 Hwy 99, Ste 101, Edmonds, WA 98026","['Closed', '']","['11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 2:30 PM, 4:30 PM - 9:00 PM', '']","['11:00 AM - 2:30 PM, 4:00 PM - 9:30 PM', '']","['11:00 AM - 9:30 PM', '']","['11:00 AM - 9:00 PM', '']"
Nakagawa Japanese Restaurant,"1427 228th St SE, Ste D6, Bothell, WA 98021","['Closed', '']","['5:00 PM - 8:30 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 8:30 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 8:30 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 9:00 PM', '']","['11:30 AM - 2:00 PM, 5:00 PM - 8:30 PM', '']"
Rusty Pelican Cafe,"15704 Mill Creek Blvd, Mill Creek, WA 98012","['9:00 AM - 3:00 PM', '']","['9:00 AM - 3:00 PM', '']","['9:00 AM - 3:00 PM', '']","['9:00 AM - 3:00 PM', '']","['9:00 AM - 3:00 PM', '']","['9:00 AM - 3:00 PM', '']","['9:00 AM - 3:00 PM', '']"
Dong Ting Chun,"22001 WA-99, Ste 400, Edmonds, WA 98026","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']","['11:00 AM - 2:30 PM, 5:00 PM - 9:30 PM', '']"
Nuevo Amanecer Pupuseria,"1519 132nd St SE, Ste E, Everett, WA 98208","['11:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['10:00 AM - 9:00 PM', '']","['10:00 AM - 8:00 PM', '']"
Silver Spoon Thai Restaurant & Bar,"3828 196th St SW, Lynnwood, WA 98036","['11:00 AM - 10:30 PM', '']","['11:00 AM - 10:30 PM', '']","['11:00 AM - 10:30 PM', '']","['11:00 AM - 10:30 PM', '']","['11:00 AM - 11:30 PM', '']","['11:00 AM - 11:30 PM', '']","['11:00 AM - 10:30 PM', '']"
San Kai,"111 4th Ave N, Edmonds, WA 98020","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:00 PM', '']","['4:00 PM - 9:30 PM', '']","['4:00 PM - 9:30 PM', '']","['4:00 PM - 9:00 PM', '']"
Gabriel's Fire,"5803 244th St SW, Mountlake Terrace, WA 98043","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['Closed', '']"
BBQ Arirang,"18623 Hwy 99 S, Ste 150, Lynnwood, WA 98037","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']","['11:00 AM - 11:00 PM', '']"
Tubs Gourmet Subs,"4400 168th St SW, Ste 201, Lynnwood, WA 98037","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['10:30 AM - 7:00 PM', '']","['11:00 AM - 5:00 PM', '']"
Asadero Sinaloa,"310 Washington Ave N, Kent, WA 98032","['Closed', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Iron Pot,"222 1st Ave S, Kent, WA 98032","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['11:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['Closed', '']"
Nana's Southern Kitchen,"10234 SE 256th St, Kent, WA 98030","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['11:00 AM - 7:00 PM', '']","['12:00 PM - 5:00 PM', '']"
egghole,"229 Washington Ave N, Kent, WA 98032","['8:00 AM - 3:00 PM', '']","['8:00 AM - 3:00 PM', '']","['8:00 AM - 8:00 PM', '']","['8:00 AM - 8:00 PM', '']","['8:00 AM - 8:00 PM', '']","['8:00 AM - 8:00 PM', '']","['8:00 AM - 3:00 PM', '']"
Airways Brewing: The Bistro in Downtown Kent,"320 W Harrison St, Kent, WA 98032","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 9:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 10:00 PM', '']","['11:00 AM - 9:00 PM', '']"
Fire Tacos De Birria,"105 W Smith St, Kent, WA 98032","['Closed', '']","['12:00 PM - 7:00 PM', '']","['12:00 PM - 7:00 PM', '']","['12:00 PM - 7:00 PM', '']","['12:00 PM - 7:00 PM', '']","['10:30 AM - 6:00 PM', '']","['10:30 AM - 4:00 PM', '']"
CIRCLE CHINESE CUISINE,"1734 Central Ave S, Kent, WA 98032","['4:00 PM - 10:30 PM', '']","['Closed', '']","['4:00 PM - 10:30 PM', '']","['4:00 PM - 10:30 PM', '']","['4:00 PM - 10:30 PM', '']","['4:00 PM - 10:30 PM', '']","['4:00 PM - 10:30 PM', '']"
Saigon Soul Vietnamese Restaurant,"24202 104th Ave SE, Kent, WA 98030","['10:00 AM - 8:30 PM', '']","['10:00 AM - 8:30 PM', '']","['10:00 AM - 8:30 PM', '']","['10:00 AM - 8:30 PM', '']","['10:00 AM - 8:30 PM', '']","['10:00 AM - 8:30 PM', '']","['Closed', '']"
Fil Cuisine,"23843 108th Ave SE, Kent, WA 98031","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['9:00 AM - 8:00 PM', '']","['9:00 AM - 7:00 PM', '']"
Mama Dough,"18230 E Valley Hwy, Ste 156, Kent, WA 98032","['Closed', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']","['10:30 AM - 8:30 PM', '']"
Yummy Kitchen,"1250 SW 43rd St, Ste C, Renton, WA 98057","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['10:00 AM - 8:00 PM', '']","['Closed', '']"
Triumph Valley,"3750 E Valley Rd, Renton, WA 98057","['11:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']","['11:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']","['10:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']","['10:00 AM - 4:00 PM, 5:00 PM - 9:00 PM', '']"
